user_name,score,date,text,sentiment,time
Rogerio Reis,1,01/07/2024,Péssimo pois não consigo entrar no meu app,-0.8,1.16
Abimael Correia,5,01/07/2024,top comecei hoje e bora ver quantos que vô faturar,0.2,1.215
Glória,1,01/07/2024,"para você q tem comércio, usa essa financeira, motivo se vender por links para ser melhor para vc, eles bloqueia seu saldo por 30 dia, então vc só vai receber no próximo mês. pfvr não abaixe o app obrigado ton pela péssima experiência agora vou ficar com uma divida atrasada pq o app e lixo",-0.8,0.652
Deyvison e Jhenifer,5,01/07/2024,aplicativo excelente,0.7,0.729
Mariano Ferreira,1,01/07/2024,Fiz uma vendo tive que esperar 120 dia co Completou hoje me mandar um email dizendo que o dinheiro Dizendo que devolver o não tem comprovante muito enrolado,-0.5,0.621
Ana Junger,1,01/07/2024,Fiz para poder usar e não consegui. Achei péssimo . Entrei em contato e nada. Então melhor foi desinstalar.,-0.8,0.606
Gabriel Santos,1,01/07/2024,"Pecimo aplicativo, atendimento horrível prazo de recebimento das vendas muito longos eles dizem que vai pagar e pagar e nunca pagam, não recomendo pra ninguém",-0.8,0.618
Andeson Antonio,5,01/07/2024,App mt bom de manusear.,0.4,0.831
Assis Nascimento,5,01/07/2024,ótimo aplicativo e às máquinas super indico,0.6,0.992
Joselita Santos Sales,2,01/07/2024,Já instalei e desinstalei esse aplicativo umas 3 ou 4 vezes. Visto que não consigo entrar no APP. Só volta depois da reinstalação.,-0.2,0.634
Danyella Gouveia Dany,1,01/07/2024,vou dar uma estrela por que esse APP é muito ruim toda vez q vou entrar nele apresenta falhas e não consigo entrar no APP pode dar uma melhorada nesse app por que tá muito ruim,0.0,0.751
Luiz Bassani Neto,5,01/07/2024,top de mais,0.5,0.704
Rafael Sousa,1,01/07/2024,"App bem ruim,Pix não cai na hora e nem da pra ver detalhes do extrato",-0.5,1.444
lucas adeodato,1,01/07/2024,Péssimo aplicativo.pra descontar a taxa dele é rápido mais pra liberar o que é da pessoa é uma burocracia. Imagina se precisasse pra uma emergência não pode contar com ele não viu. Deveria melhorar ou então deixa pra tirar o de vocês depois quando nois receber o nosso também. Péssimo dos péssimo Não indico pra ninguém,-0.8,0.693
Emanoel Messias,1,01/07/2024,"Efetuei uma venda pelo link e só depois percebi o prazo para receber o valor , um mês de prazo! Achei um absurdo essa demora para receber vendas via link!",-0.5,0.618
Beatriz Farias campos,5,01/07/2024,Boa Noite meu aplicativo não quer abrir eu já botei minha senha e nada de abrir,-0.7,1.546
gisiane ribeiro,5,01/07/2024,"Boa noite não estou conseguindo acessar minha conta da Ton pra fazer indicações,quando vou acessar aparece conta inativa.",-0.8,1.712
Celiomar campos Farias,3,30/06/2024,"o aplicativo apresenta falhas, não autorizada o cadastro do dispositivo e após feito as instruções do suporte o mesmo continua cm erros, é impossível de utilizar",-0.8,0.628
Zilma Januario Ferreira,5,30/06/2024,Estou tendi problemas pra acessar,-0.5,1.023
Edilson Oliveira,4,30/06/2024,Ótimo,0.5,0.722
Renato Sousa,5,30/06/2024,Bom,0.5,0.679
Ismael ribeiro,5,30/06/2024,tp melhor que tá tendo,-0.2,0.955
laisa santos,5,30/06/2024,"muito bom, e funciona realmente",0.4,0.866
Juan Robson,5,30/06/2024,top demais,0.5,0.662
Pedro Santos,5,30/06/2024,Top,0.0,0.392
Fernanda Gabriela Miciano,2,30/06/2024,App dá muito erro na hora de efetuar vendas pelo Tap Ton. Tem que melhorar.,-0.5,1.479
Valmeri José Schmitt,5,30/06/2024,"Aprovação de cadastro e aplicativo muito fácil de usar. Tap ton funciona muito bem. Sugestão: Já que existe a opção minha Loja no app poderiam haver mais opções gerenciais: Estoque, preço de custo(compra) E poderia haver também opção de venda em dinheiro para controle de caixa. Assim toda informação gerencial seria concentrada no mesmo app",0.2,0.581
