user_name,score,date,text,sentiment,time
Rogerio Reis,1,01/07/2024,Péssimo pois não consigo entrar no meu app,-0.99,0.96
Abimael Correia,5,01/07/2024,top comecei hoje e bora ver quantos que vô faturar,0.5,3.243
Glória,1,01/07/2024,"para você q tem comércio, usa essa financeira, motivo se vender por links para ser melhor para vc, eles bloqueia seu saldo por 30 dia, então vc só vai receber no próximo mês. pfvr não abaixe o app obrigado ton pela péssima experiência agora vou ficar com uma divida atrasada pq o app e lixo",-0.83,9.729
Deyvison e Jhenifer,5,01/07/2024,aplicativo excelente,0.8,1.935
Mariano Ferreira,1,01/07/2024,Fiz uma vendo tive que esperar 120 dia co Completou hoje me mandar um email dizendo que o dinheiro Dizendo que devolver o não tem comprovante muito enrolado,-0.51,6.03
Ana Junger,1,01/07/2024,Fiz para poder usar e não consegui. Achei péssimo . Entrei em contato e nada. Então melhor foi desinstalar.,-0.95,4.789
Gabriel Santos,1,01/07/2024,"Pecimo aplicativo, atendimento horrível prazo de recebimento das vendas muito longos eles dizem que vai pagar e pagar e nunca pagam, não recomendo pra ninguém",-0.92,6.119
Andeson Antonio,5,01/07/2024,App mt bom de manusear.,0.8,2.379
Assis Nascimento,5,01/07/2024,ótimo aplicativo e às máquinas super indico,0.8,2.747
Joselita Santos Sales,2,01/07/2024,Já instalei e desinstalei esse aplicativo umas 3 ou 4 vezes. Visto que não consigo entrar no APP. Só volta depois da reinstalação.,-0.6,5.948
Danyella Gouveia Dany,1,01/07/2024,vou dar uma estrela por que esse APP é muito ruim toda vez q vou entrar nele apresenta falhas e não consigo entrar no APP pode dar uma melhorada nesse app por que tá muito ruim,-0.8,6.356
Luiz Bassani Neto,5,01/07/2024,top de mais,0.0,8.566
Rafael Sousa,1,01/07/2024,"App bem ruim,Pix não cai na hora e nem da pra ver detalhes do extrato",-0.9,3.986
lucas adeodato,1,01/07/2024,Péssimo aplicativo.pra descontar a taxa dele é rápido mais pra liberar o que é da pessoa é uma burocracia. Imagina se precisasse pra uma emergência não pode contar com ele não viu. Deveria melhorar ou então deixa pra tirar o de vocês depois quando nois receber o nosso também. Péssimo dos péssimo Não indico pra ninguém,-0.91,10.662
Emanoel Messias,1,01/07/2024,"Efetuei uma venda pelo link e só depois percebi o prazo para receber o valor , um mês de prazo! Achei um absurdo essa demora para receber vendas via link!",-0.9,6.269
Beatriz Farias campos,5,01/07/2024,Boa Noite meu aplicativo não quer abrir eu já botei minha senha e nada de abrir,-0.9,3.763
gisiane ribeiro,5,01/07/2024,"Boa noite não estou conseguindo acessar minha conta da Ton pra fazer indicações,quando vou acessar aparece conta inativa.",-0.8,4.691
